route,status
POST /api/messages/saved-replies/,incomplete
PUT /api/messages/saved-replies/:id,incomplete
POST /api/messages/saved-replies/:id/use,incomplete
GET /api/messages/saved-replies/stats/popular,incomplete
GET /api/messages/failed,incomplete
POST /api/messages/:conversationId/retry/:messageId,incomplete
POST /api/messages/retry-bulk,incomplete
POST /api/messages/auto-retry,incomplete
POST /api/messages/validate,incomplete
GET /api/messages/compliance-rules,incomplete
GET /api/templates/,incomplete
GET /api/templates/:id,incomplete
POST /api/templates/,incomplete
PUT /api/templates/:id,incomplete
DELETE /api/templates/:id,incomplete
GET /api/templates/stats,incomplete
GET /api/templates/analytics,incomplete
POST /api/templates/draft,incomplete
GET /api/templates/:id/status,incomplete
POST /api/templates/:id/submit,incomplete
GET /api/templates/namespaces/business/:businessId,incomplete
GET /api/templates/namespaces/:namespace/business/:businessId,incomplete
PUT /api/templates/:templateId/namespace,incomplete
DELETE /api/templates/:templateId/namespace,incomplete
POST /api/templates/namespaces/bulk-update,incomplete
POST /api/templates/namespaces/sync/:businessId,incomplete
GET /api/templates/namespaces/stats/:businessId,incomplete
GET /api/templates/:id/rejections,incomplete
POST /api/templates/:id/analyze,incomplete
GET /api/templates/rejection-patterns,incomplete
GET /api/analytics/export/conversations,incomplete
GET /api/analytics/export/contacts,incomplete
GET /api/analytics/reactions/,incomplete
GET /api/analytics/reactions/summary,incomplete
GET /api/analytics/reactions/trends,incomplete
GET /api/analytics/quality/ratings,incomplete
GET /api/analytics/quality/trends,incomplete
GET /api/analytics/quality/insights,incomplete
GET /api/analytics/audit-logs,incomplete
GET /api/analytics/audit-logs/export,incomplete
GET /api/analytics/spending/overview,incomplete
GET /api/analytics/spending/breakdown,incomplete
GET /api/analytics/spending/trends,incomplete
GET /api/analytics/dashboard,incomplete
GET /api/analytics/overview,incomplete
GET /api/analytics/performance,incomplete
GET /api/webhooks/whatsapp,incomplete
POST /api/webhooks/whatsapp,incomplete
GET /api/webhooks/health,incomplete
GET /api/webhooks/stats,incomplete
POST /api/media/upload,incomplete
GET /api/config/webhook-url,incomplete
GET /api/config/info,incomplete
GET /api/search/messages,incomplete
GET /api/search/conversations,incomplete
GET /api/search/combined,incomplete
POST /api/automations/flows/:flowId/publish,incomplete
POST /api/automations/flows/:flowId/validate,incomplete
PUT /api/automations/flows/:flowId/unpublish,incomplete
GET /api/automations/flows/:flowId/preview,incomplete
GET /api/automations/flows/:flowId/analytics/completion,incomplete
GET /api/automations/flows/:flowId/analytics/abandonment,incomplete
GET /api/automations/flows/:flowId/analytics/performance,incomplete
GET /api/automations/flows/:flowId/analytics/trends,incomplete
GET /api/automations/flows/business/:businessId/analytics,incomplete
POST /api/automations/flows/data-endpoint,incomplete
GET /api/automations/flows/:flowId/data-endpoint,incomplete
PUT /api/automations/flows/:flowId/data-endpoint,incomplete
DELETE /api/automations/flows/:flowId/data-endpoint,incomplete
POST /api/automations/flows/:flowId/data-endpoint/test,incomplete
